paper_id,title,abstract,authors,authorids,keywords,primary_area,venue,year,pdf_url,forum_url,author_ids,submission_date
DUfwD5yiN4,Exact Distributed Structure-Learning for Bayesian Networks,"Learning the structure of a Bayesian network is currently practical for only a limited number of variables. Existing distributed learning approaches approximate the true structure. We present an exact distributed structure-learning algorithm to find a P-map for a set of random variables. First, by using conditional independence, the variables are divided into sets $\X_1,\ldots,\X_I$ such that for each $\X_i$, the presence and absence of edges that are adjacent with any interior node (a node that is not in any other $\X_j, j\neq i$) can be correctly identified by learning the structure of $\X_i$ separately without using the information of the variables other than $\X_i$. Second, constraint or score-based structure learners are employed to learn the P-map of $\X_i$, in a decentralized way. Finally, the separately learned structures are appended by checking a conditional independence test on the boundary nodes (those that are in at least two $\X_i$'s). The result is proven to be a P-map. This approach allows for a significant reduction in computation time and opens the door for structure learning for a ``giant'' number of variables.","Hamid Kalantari, Mohammad Hossein Roohi, Pouria Ramazi","~Hamid_Kalantari1, ~Mohammad_Hossein_Roohi1, ~Pouria_Ramazi1","Bayesian networks, Causality, Structure learning, Distributed learning",learning theory,Submitted to ICLR 2025,2025,https://openreview.net/pdf?id=DUfwD5yiN4,https://openreview.net/forum?id=DUfwD5yiN4,,
DUtfVs1xxD,Uni-PrevPredMap: Extending PrevPredMap to a Unified Framework of Prior-Informed Modeling for Online Vectorized HD Map Construction,"Safety constitutes a foundational imperative for autonomous driving systems, necessitating maximal incorporation of accessible prior information. This study establishes that temporal perception buffers and cost-efficient high-definition (HD) maps inherently form complementary prior sources for online vectorized HD map construction. We present Uni-PrevPredMap, a unified prior-informed framework systematically integrating previous predictions with corrupted HD maps. Our framework introduces a tri-mode paradigm maintaining operational consistency across non-prior, temporal-prior, and temporal-map-fusion modes. This tri-mode paradigm simultaneously decouples the framework from ideal map assumptions while ensuring robust performance in both map-present and map-absent scenarios. Additionally, we develop a tile-indexed 3D vectorized global map processor enabling efficient 3D prior data refreshment, compact storage, and real-time retrieval. Uni-PrevPredMap achieves state-of-the-art map-absent performance across established online vectorized HD map construction benchmarks. When provided with corrupted HD maps, it exhibits robust capabilities in error-resilient prior fusion, empirically confirming the synergistic complementarity between temporal predictions and imperfect map data. Code is available in supplementary materials.",,,"online vectorized HD map construction, prior-informed modeling, unified framework","applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=DUtfVs1xxD,https://openreview.net/forum?id=DUtfVs1xxD,,
dYaeDrazj5,From Images to Connections: Can DQN with GNNs learn the Strategic Game of Hex?,"The gameplay of strategic board games such as chess, Go and Hex is often characterized by combinatorial, relational structures---capturing distinct interactions and non-local patterns---and not just images. Nonetheless, most common self-play reinforcement learning (RL) approaches simply approximate policy and value functions using convolutional neural networks (CNN).
A key feature of CNNs, is their relational inductive biases towards locality and translational invariance. In contrast, graph neural networks (GNN) can encode more complicated and distinct relational structures. Hence, we investigate the crucial question: Can GNNs, with their ability to encode complex connections, replace CNNs in self-play reinforcement learning? To this end, we do a comparison with Hex---an abstract yet strategically rich board game---serving as our experimental platform. Our findings reveal
that GNNs excel at dealing with long range dependency situations in game states and are less prone to overfitting, but also showing a reduced proficiency in discerning local patterns. This suggests a potential paradigm shift, signaling the use of game-specific structures to reshape self-play reinforcement learning.","Yannik Keller, Jannis Blüml, Gopika Sudhakaran, Kristian Kersting","~Yannik_Keller1, ~Jannis_Blüml1, ~Gopika_Sudhakaran1, ~Kristian_Kersting1","Self-play Reinforcement Learning, Graph Neural Networks, Hex, Long Range Dependency Problems, Board games",reinforcement learning,ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=dYaeDrazj5,https://openreview.net/forum?id=dYaeDrazj5,,
e5r5j8SiSS,E-DDPG: Dual-Objective Deep Deterministic Policy Gradient for MRI Acceleration and Disease Classification,"Long acquisition times remain a major challenge in clinical MRI, where a fundamental trade-off exists between the acceleration achieved through undersampling and the diagnostic utility of the reconstructed images. We cast the problem of acquiring MRI data within a fixed time budget as a discrete reinforcement learning (RL) task and propose an algorithm based on Deep Deterministic Policy Gradient, referred to as E-DDPG. E-DDPG jointly optimizes sampling patterns, image reconstruction quality, and diagnostic accuracy. We introduces three key innovations: (1) a composite reward function that simultaneously encourages cross-entropy reduction, structural similarity improvement, and decrease in predictive entropy; (2) a percentile-based replay buffer that diversifies learning by equally sampling low- and high-value transitions; and (3) integration of the Straight-Through Gumbel-Softmax mechanism to preserve end-to-end differentiability while enabling discrete action selection. We evaluate E-DDPG against state-of-the-art RL-based methods and ablation variants on the fastMRI/fastMRI+ knee datasets at acceleration factors of 4X, 8X, and 10X, demonstrating its superior performance and validating the effectiveness of each proposed component.",,,"Magnetic Resonance Imaging, Reinforcement Learning, Disease Diagnosis, Sampling Strategy",reinforcement learning,ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=e5r5j8SiSS,https://openreview.net/forum?id=e5r5j8SiSS,,
e7AUJpP8bV,PAD: Personalized Alignment of LLMs at Decoding-time,"Aligning with personalized preferences, which vary significantly across cultural, educational, and political differences, poses a significant challenge due to the computational costs and data demands of traditional alignment methods. In response, this paper presents Personalized Alignment at Decoding-time (PAD), a novel framework designed to align LLM outputs with diverse personalized preferences during the inference phase, eliminating the need for additional training. By introducing a unique personalized reward modeling strategy, this framework decouples the text generation process from personalized preferences, facilitating the generation of generalizable token-level personalized rewards. The PAD algorithm leverages these rewards to guide the decoding process, dynamically tailoring the base model’s predictions to personalized preferences. Extensive experimental results demonstrate that PAD not only outperforms existing training-based alignment methods in terms of aligning with diverse preferences but also shows significant generalizability to preferences unseen during training and scalability across different base models. This work advances the capability of LLMs to meet user needs in real-time applications, presenting a substantial step forward in personalized LLM alignment.","Ruizhe Chen, Xiaotian Zhang, Meng Luo, Wenhao Chai, Zuozhu Liu","~Ruizhe_Chen1, ~Xiaotian_Zhang1, ~Meng_Luo2, ~Wenhao_Chai1, ~Zuozhu_Liu1","Alignment, personalization","alignment, fairness, safety, privacy, and societal considerations",ICLR 2025 Poster,2025,https://openreview.net/pdf?id=e7AUJpP8bV,https://openreview.net/forum?id=e7AUJpP8bV,,
EcbUaXJb9s,MARWA: Multi-agent retrieval-augmented framework for reliable bioinformatics workflow automation,"The rapid growth of multi-omics data has driven the expansion of bioinformatics analysis tools. Common bioinformatics tasks often rely on workflows, which link multiple tools into structured pipelines for reproducibility and scalability. Yet, building workflows manually is slow and error-prone, motivating efforts toward automation. However, bioinformatics workflow automation remains difficult due to the need to clarify vague analytical objectives, coordinate heterogeneous tools, and generate intricate tool commands. Despite the potential of large language models (LLMs) to aid bioinformatics workflow recommendation through advanced semantic understanding and logical reasoning, current agent frameworks often rely on one-shot generation, weak tool retrieval solution, and limited evaluation scheme, resulting in fragile workflow automation. We propose MARWA, a Multi-Agent Retrieval-augmented framework for reliable bioinformatics Workflow Automation. The framework emphasizes a step-by-step generation process with error handling at each stage to ensure robustness. We introduce a retrieval-augmented framework to strengthen tool command accuracy, which incorporates multi-perspective LLM-augmented descriptions and employs contrastive learning. We further design a two-stage evaluation framework, combining expert-verified execution on 40 curated tasks with large-scale benchmarking on 2,270 tasks using LLM-based evaluation. Our experiments demonstrate that MARWA consistently outperforms baselines in pass rate, workflow quality and scalability. Our work provides a foundation for trustworthy bioinformatics workflow automation. Project Page: https://anonymous.4open.science/r/MARWA-7D30.",,,Bioinformatics; Workflow Automation; Multi-Agent Systems; Retrieval-Augmented Generation; Large Language Models,"applications to physical sciences (physics, chemistry, biology, etc.)",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=EcbUaXJb9s,https://openreview.net/forum?id=EcbUaXJb9s,,
EJ680UQeZG,Pinet: Optimizing hard-constrained neural networks with orthogonal projection layers,"We introduce an output layer for neural networks that ensures satisfaction of convex constraints. Our approach, $\Pi$net, leverages operator splitting for rapid and reliable projections in the forward pass, and the implicit function theorem for backpropagation. We deploy $\Pi$net as a feasible-by-design optimization proxy for parametric constrained optimization problems and obtain modest-accuracy
solutions faster than traditional solvers when solving a single problem, and significantly faster for a batch of problems. 
We surpass state-of-the-art learning approaches by orders of magnitude in terms of training time, solution quality, and robustness to hyperparameter tuning, while maintaining similar inference times. Finally, we tackle multi-vehicle motion planning with non-convex trajectory preferences and provide $\Pi$net as a GPU-ready package implemented in JAX.",,,"hard constrained neural networks, network architecture, implicit layers, operator splitting, optimization",optimization,ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=EJ680UQeZG,https://openreview.net/forum?id=EJ680UQeZG,,
EO6WtJ0q6G,Do Large Language Models Know What They Are Capable Of?,"We investigate whether large language models (LLMs) can predict whether they will succeed on a given task, and whether their predictions improve as they progress through multi-step tasks. We also investigate whether LLMs can learn from in-context experiences to make better decisions about whether to pursue a task in scenarios where failure is costly. All LLMs we tested are overconfident, but most predict their success with better-than-random discriminatory power. We find that newer and larger LLMs generally do not have greater discriminatory power. On multi-step agentic tasks, the overconfidence of several frontier LLMs worsens as they progress through the tasks, and reasoning LLMs perform comparable to or worse than non-reasoning LLMs. With in-context experiences of failure, most LLMs only slightly reduce their overconfidence, though in a resource acquisition scenario several LLMs (Claude Sonnet models and GPT-4.5) improve their performance by increasing their risk aversion. These results suggest that current LLM agents are hindered by their lack of awareness of their own capabilities. We discuss the implications of LLMs' awareness of their capabilities for AI misuse and misalignment risks.",,,"LLM Calibration, Decision Making, Overconfidence, In-context learning, LLM Agents, LLM self-knowledge, AI Safety","foundation or frontier models, including LLMs",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=EO6WtJ0q6G,https://openreview.net/forum?id=EO6WtJ0q6G,,
ERv8ptegFi,"GPUDrive: Data-driven, multi-agent driving simulation at 1 million FPS","Multi-agent learning algorithms have been successful at generating superhuman planning in various games but have had limited impact on the design of deployed multi-agent planners. A key bottleneck in applying these techniques to multi-agent planning is that they require billions of steps of experience. To enable the study of multi-agent planning at scale, we present GPUDrive, a GPU-accelerated, multi-agent simulator built on top of the Madrona Game Engine capable of generating over a million simulation steps per second. Observation, reward, and dynamics functions are written directly in C++, allowing users to define complex, heterogeneous agent behaviors that are lowered to high-performance CUDA. Despite these low-level optimizations, GPUDrive is fully accessible through Python, offering a seamless and efficient workflow for multi-agent, closed-loop simulation. Using GPUDrive, we train reinforcement learning agents on the Waymo Open Motion Dataset, achieving efficient goal-reaching in minutes and scaling to thousands of scenarios in hours. We open-source the code and pre-trained agents at \url{www.github.com/Emerge-Lab/gpudrive}.","Saman Kazemkhani, Aarav Pandya, Daphne Cornelisse, Brennan Shacklett, Eugene Vinitsky","~Saman_Kazemkhani1, ~Aarav_Pandya1, ~Daphne_Cornelisse1, ~Brennan_Shacklett1, ~Eugene_Vinitsky1","Simulation, benchmark, multi-agent reinforcement learning, autonomous vehicles, planning",datasets and benchmarks,ICLR 2025 Poster,2025,https://openreview.net/pdf?id=ERv8ptegFi,https://openreview.net/forum?id=ERv8ptegFi,,
EURAfiUpVJ,MARS-SQL: A Multi-Agent Reinforcement Learning Framework for Text-to-SQL,"Translating natural language to SQL remains a significant challenge for complex queries requiring environmental interaction and self-correction. To address this, we introduce MARS-SQL, a novel multi-agent framework that combines principled task decomposition and interactive reinforcement learning (RL). Our system comprises three specialized agents: a Grounding Agent for schema linking, a Generation Agent for query generation, and a Validation Agent for final selection. The core of our framework is the Generator agent, which is trained via a multi-turn RL policy. Adopting a ReAct-style Think-Act-Observe loop, the agent iteratively generates thoughts, executes SQL actions against a live database, and revises its strategy based on execution feedback, enabling dynamic, stateful reasoning and self-correction. At inference time, we generate multiple interaction trajectories to explore diverse reasoning paths. The Verifier agent, then selects the optimal trajectory by modeling verification as a next-token prediction task and choosing the solution with the highest generation probability. This structured workflow, which pipelines specialized agents and combines interactive RL for generation with generative modeling for verification, proves highly effective for robust and accurate SQL generation. Experiments show that **MARS-SQL** achieves state-of-the-art Execution Accuracy of 77.84\% on the BIRD dev set and 89.75\% on the Spider test set.",,,"Text2SQL, LLM, Reinforcement Learning, Multi-Agent","applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=EURAfiUpVJ,https://openreview.net/forum?id=EURAfiUpVJ,,
fBlHaSGKNg,Unleashing the Power of Annotation: Enhancing Semi-Supervised Learning through Unsupervised Sample Selection,"With large volumes of unlabeled data and limited annotation budgets, Semi-Supervised Learning (SSL) has become a preferred approach in many deep learning tasks. However, most previous studies have primarily focused on  utilizing labeled and unlabeled data for model training to improve performance, while the efficient selection of samples for annotation under budgetary constraints has often been overlooked.To fill this gap, we propose an efficient sample selection methodology named Unleashing the Power of Annotation (UPA). By adopting a modified Frank-Wolfe algorithm to minimizing a novel criterion $\alpha$-Maximum Mean Discrepancy ($\alpha$-MMD), UPA selects a representative and diverse subset for annotation from the unlabeled data. Furthermore, we demonstrate that minimizing $\alpha$-MMD enhances the generalization ability of low-budget learning. Experiments show that UPA consistently improves the performance of several popular SSL methods, surpassing various prevailing Active Learning (AL) and Semi-Supervised Active Learning (SSAL) methods even under constrained annotation budgets.","Qian Shao, Jiangrui Kang, Qiyuan Chen, Hongxia Xu, Yiwen Cao, JIAJUAN LIANG, Jian Wu","~Qian_Shao2, ~Jiangrui_Kang1, ~Qiyuan_Chen1, ~Hongxia_Xu1, ~Yiwen_Cao2, ~JIAJUAN_LIANG1, ~Jian_Wu6","semi-supervised learning, unsupervised sample selection","unsupervised, self-supervised, semi-supervised, and supervised representation learning",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=fBlHaSGKNg,https://openreview.net/forum?id=fBlHaSGKNg,,
fDZumshwym,Leveraging Hierarchical Feature Sharing for Efficient Dataset Condensation,"Given a real-world dataset, data condensation (DC) aims to synthesize a significantly smaller dataset that captures the knowledge of this dataset for model training with high performance. Recent works propose to enhance DC with data parameterization, which condenses data into parameterized data containers rather than pixel space. The intuition behind data parameterization is to encode shared features of images to avoid additional storage costs. In this paper, we recognize that images share common features in a hierarchical way due to the inherent hierarchical structure of the classification system, which is overlooked by current data parameterization methods.
To better align DC with this hierarchical nature and encourage more efficient information sharing inside data containers, we propose a novel data parameterization architecture, Hierarchical Memory Network (HMN). HMN stores condensed data in a three-tier structure, representing the dataset-level, class-level, and instance-level features. Another helpful property of the hierarchical architecture is that HMN naturally ensures good independence among images despite achieving information sharing. This enables instance-level pruning for HMN to reduce redundant information, thereby further minimizing redundancy and enhancing performance. We evaluate HMN on four public datasets (SVHN, CIFAR10, CIFAR100, and Tiny-ImageNet) and compare HMN with eight DC baselines. The evaluation results show that our proposed method outperforms all baselines, even when trained with a batch-based loss consuming less GPU memory.","Haizhong Zheng, Jiachen Sun, Shutong Wu, Bhavya Kailkhura, Zhuoqing Mao, Chaowei Xiao, Atul Prakash","~Haizhong_Zheng1, ~Jiachen_Sun1, ~Shutong_Wu1, ~Bhavya_Kailkhura1, ~Zhuoqing_Mao1, ~Chaowei_Xiao2, ~Atul_Prakash1",Data condensation; Data distillation; Data parameterization,"general machine learning (i.e., none of the above)",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=fDZumshwym,https://openreview.net/forum?id=fDZumshwym,,
feZcpZbbqL,Finding Second-order Stationary Points for Generalized-Smooth Nonconvex Minimax Optimization via Gradient-based Algorithm,"Nonconvex minimax problems have received intense interest in many machine learning applications such as generative adversarial network, robust optimization and adversarial 
Recently, a variety of minimax optimization algorithms based on Lipschitz smoothness 
for finding first-order or second-order stationary points have been proposed.
However, the standard Lipschitz continuous gradient or Hessian assumption could fail to hold even in some classic minimax problems,
rendering conventional minimax optimization algorithms fail to converge in practice.
To address this challenge, we demonstrate a new gradient-based method for nonconvex-strongly-concave minimax optimization 
under a generalized smoothness assumption.
Motivated by the important application of escaping saddle points, we propose a generalized Hessian smoothness condition, 
under which our gradient-based method can achieve the complexity of $\mathcal{O}(\epsilon^{-1.75}\log n)$ 
to find a second-order stationary point with only gradient calls involved, 
which improves the state-of-the-art complexity results for the nonconvex minimax optimization 
even under standard Lipschitz smoothness condition.
To the best of our knowledge, this is the first work to show convergence 
for finding second-order stationary points on nonconvex minimax optimization with generalized smoothness.
The experimental results on the application of domain adaptation confirm the superiority of our algorithm compared with existing methods.","Qi Zhu, Yuanyuan Liu, Fanhua Shang, Hongying Liu, Zhouchen Lin","~Qi_Zhu15, ~Yuanyuan_Liu1, ~Fanhua_Shang2, ~Hongying_Liu2, ~Zhouchen_Lin1","Minimax Optimization, Nonconvex Optimization, Generalized Smoothness, Second-order Stationary Point",optimization,Submitted to ICLR 2025,2025,https://openreview.net/pdf?id=feZcpZbbqL,https://openreview.net/forum?id=feZcpZbbqL,,
FjifPJV2Ol,SOLVING SCHRODINGER BRIDGE PROBLEM VIA STOCHASTIC ACTION MINIMIZATION,"The Schrodinger bridge problem is a classical entropy-regularized optimal transport problem that seeks to find optimal diffusion trajectories that transform one probability distribution into another. Although mathematical theory has reached
a mature stage, the ongoing research in algorithmic advancements remains a dynamic field, driven by recent innovations in diffusion models. We introduce stochastic Lagrangian and stochastic action as viable alter-
native for serving as a direct loss function. We demonstrate the feasibility of incorporating all the vital physical constraints necessary to solve the problem directly into the Lagrangian,  providing an intuitive grasp of the loss function and streamlining the training process.","Mykola Bordyuh, Daniel Wong, Robert Moccia, Djork-Arné Clevert","~Mykola_Bordyuh1, daniel.wong@pfizer.com, robert.moccia@pfizer.com, ~Djork-Arné_Clevert2","Schrodinger bridge, optimal transport, single-cell, trajectories",generative models,Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=FjifPJV2Ol,https://openreview.net/forum?id=FjifPJV2Ol,,
FJWT0692hw,SequenceMatch: Imitation Learning for Autoregressive Sequence Modelling with Backtracking,"In many domains, autoregressive models can attain high likelihood on the task of predicting the next observation. However, this maximum-likelihood (MLE) objective does not necessarily match a downstream use-case of autoregressively generating high-quality sequences. The MLE objective weights sequences proportionally to their frequency under the data distribution, with no guidance for the model's behaviour out of distribution (OOD): leading to compounding error during autoregressive generation. In order to address this compounding error problem, we formulate sequence generation as an imitation learning (IL) problem. This allows us to minimize a variety of divergences between the distribution of sequences generated by an autoregressive model and sequences from a dataset, including divergences with weight on OOD generated sequences. The IL framework also allows us to incorporate backtracking by introducing a backspace action into the generation process. This further mitigates the compounding error problem by allowing the model to revert a sampled token if it takes the sequence OOD. Our resulting method, SequenceMatch, can be implemented without adversarial training or major architectural changes. We identify the SequenceMatch-χ2 divergence as a more suitable training objective for autoregressive models which are used for generation. We show that empirically, SequenceMatch training leads to improvements over MLE on text generation with language models and arithmetic","Chris Cundy, Stefano Ermon","~Chris_Cundy1, ~Stefano_Ermon1","Sequence Modelling, Imitiation Learning, Language Modelling",generative models,ICLR 2024 poster,2024,https://openreview.net/pdf?id=FJWT0692hw,https://openreview.net/forum?id=FJWT0692hw,,
FSkseQQgPu,Radio Frequency Ray Tracing via Stochastic Geometry,"Radio frequency (RF) propagation modeling is essential for the design, analysis, and optimization of modern wireless sensing and communication systems. However, accurately modeling RF propagation in electrically large and complex environments remains a long-standing challenge, owing to the intricate interactions between RF signals and surrounding objects (e.g., reflection, diffraction, and scattering). Unlike conventional ray-tracing pipelines that hand-engineer interaction rules, or black-box neural surrogates that do not explicitly model physical structure, we introduce RFSG, a novel framework that integrates neural representations with physics-based RF propagation modeling. Starting with a stochastic representation of objects via random indicator functions, we derive the attenuation coefficient as a functional of the probability distributions of the underlying indicator functions under an exponential transport model. This formulation inherently satisfies key physical constraints such as reciprocity and reversibility. Building on this foundation, we employ object-centric neural representations to capture complex RF–object interactions while preserving the composability of traditional ray tracing. Extensive elevations on real-world testbeds demonstrate that RFSG consistently outperforms state-of-the-art neural baselines in prediction accuracy, while requiring significantly fewer training samples.",,,"Radio Frequency, Neural Rendering, Neural Representation, Stochastic Geometry, Wireless Channel Modeling","applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=FSkseQQgPu,https://openreview.net/forum?id=FSkseQQgPu,,
Fty0wTcemV,DELIFT: Data Efficient Language model Instruction Fine-Tuning,"Fine-tuning large language models (LLMs) is crucial for task specialization but often becomes resource-intensive due to redundant or uninformative data. Existing data selection methods typically rely either on computationally expensive gradient-based metrics or static embeddings that fail to adapt dynamically to the model’s evolving state, thus limiting their practical effectiveness. To address this,
we propose DELIFT (Data Efficient Language model Instruction Fine-Tuning), leveraging a novel, computationally efficient utility metric inspired by In-Context Learning (ICL). Our ICL-based metric measures the informational value of each data sample by quantifying its effectiveness as an in-context example in improving model predictions for other samples, reflecting its actual contribution relative to the model’s current state. Integrated with tailored submodular optimization methods, DELIFT systematically selects diverse, informative subsets optimized specifically for each fine-tuning stage: instruction tuning, task-specific adaptation, and continual fine-tuning. Experimental results across multiple datasets and model scales show DELIFT reduces fine-tuning data requirements by up to 70% without compromising performance, consistently outperforming existing methods by up to 26% in effectiveness and efficiency.","Ishika Agarwal, Krishnateja Killamsetty, Lucian Popa, Marina Danilevsky","~Ishika_Agarwal1, ~Krishnateja_Killamsetty1, ~Lucian_Popa1, ~Marina_Danilevsky1",Data Efficient Instruction Fine-Tuning;  Data Subset Selection; Submodular Functions,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2025 Poster,2025,https://openreview.net/pdf?id=Fty0wTcemV,https://openreview.net/forum?id=Fty0wTcemV,,
g6syfIrVuS,Local Loss Optimization in the Infinite Width: Stable Parameterization of Predictive Coding Networks and Target Propagation,"Local learning, which trains a network through layer-wise local targets and losses, has been studied as an alternative to backpropagation (BP) in neural computation. However, its algorithms often become more complex or require additional hyperparameters due to the locality, making it challenging to identify desirable settings where the algorithm progresses in a stable manner.
To provide theoretical and quantitative insights, we introduce  maximal update parameterization ($\mu$P) in the infinite-width limit for two representative designs of local targets: predictive coding (PC) and target propagation (TP). We verify that $\mu$P enables hyperparameter transfer across models of different widths.
Furthermore, our analysis reveals unique and intriguing properties of $\mu$P that are not present in conventional BP. By analyzing deep linear networks, we find that PC's gradients interpolate between first-order and Gauss-Newton-like gradients, depending on the parameterization.  
We demonstrate that, in specific standard settings, PC in the infinite-width limit behaves more similarly to the first-order gradient.
For TP, even with the standard scaling of the last layer differing from classical $\mu$P, its local loss optimization favors the feature learning regime over the kernel regime.","Satoki Ishikawa, Rio Yokota, Ryo Karakida","~Satoki_Ishikawa1, ~Rio_Yokota1, ~Ryo_Karakida2","deep learning, feature learning, local learning, predictive coding, target propagation, infinite width, maximal update parameterization (muP)",optimization,ICLR 2025 Poster,2025,https://openreview.net/pdf?id=g6syfIrVuS,https://openreview.net/forum?id=g6syfIrVuS,,
GBfYgjOfSe,Ferret-UI 2: Mastering Universal User Interface Understanding Across Platforms,"Building a generalist model for user interface (UI) understanding is challenging due to various foundational issues, such as platform diversity, resolution variation, and data limitation. In this paper, we introduce Ferret-UI 2, a multimodal large language model (MLLM) designed for universal UI understanding across a wide range of platforms, including iPhone, Android, iPad, Webpage, and AppleTV. Building on the foundation of Ferret-UI, Ferret-UI 2 introduces three key innovations: support for multiple platform types, high-resolution perception through adaptive scaling, and advanced task training data generation powered by GPT-4o with set-of-mark visual prompting. These advancements enable Ferret-UI 2 to perform complex, user-centered interactions, making it highly versatile and adaptable for the expanding diversity of platform ecosystems. Extensive empirical experiments on referring, grounding, user-centric advanced tasks (comprising 9 subtasks $\times$ 5 platforms), GUIDE next-action prediction dataset, and GUI-World multi-platform benchmark demonstrate that Ferret-UI 2 significantly outperforms Ferret-UI, and also shows strong cross-platform transfer capabilities.","Zhangheng LI, Keen You, Haotian Zhang, Di Feng, Harsh Agrawal, Xiujun Li, Mohana Prasad Sathya Moorthy, Jeffrey Nichols, Yinfei Yang, Zhe Gan","~Zhangheng_LI2, ~Keen_You1, ~Haotian_Zhang3, ~Di_Feng5, ~Harsh_Agrawal1, ~Xiujun_Li1, ~Mohana_Prasad_Sathya_Moorthy1, ~Jeffrey_Nichols1, ~Yinfei_Yang1, ~Zhe_Gan1","Multimodal LLM, UI Understanding","foundation or frontier models, including LLMs",ICLR 2025 Poster,2025,https://openreview.net/pdf?id=GBfYgjOfSe,https://openreview.net/forum?id=GBfYgjOfSe,,
GfXMTAJaxZ,How to Verify Any (Reasonable) Distribution Property: Computationally Sound Argument Systems for Distributions,"As statistical analyses become more central to science, industry and society, there is a growing need to ensure correctness of their results. Approximate correctness can be verified by replicating the entire analysis, but can we verify without replication? We focus on distribution testing problems: verifying that an unknown distribution is close to having a  claimed property. Our main contribution is an interactive protocol between a verifier and an untrusted prover, which can be used to verify any distribution property that can be decided in polynomial time given a full and explicit description of the distribution. If the distribution is at statistical distance $\varepsilon$ from having the property, then the verifier rejects with high probability. This soundness property holds against any polynomial-time  strategy that a cheating prover might follow, assuming the existence of collision-resistant hash functions (a standard assumption in cryptography). For distributions over a domain of size $N$, the protocol consists of $4$ messages and the communication complexity and verifier runtime are roughly $\widetilde{O}\left(\sqrt{N} / \varepsilon^2 \right)$. The verifier's sample complexity is $\widetilde{O}\left(\sqrt{N} / \varepsilon^2 \right)$, and this is optimal up to $\text{polylog}(N)$ factors (for any protocol, regardless of its communication complexity). Even for simple properties, approximately deciding whether an unknown distribution has the property can require quasi-linear sample complexity and running time. For any such property, our protocol provides a quadratic speedup over replicating the analysis.","Tal Herman, Guy N. Rothblum","~Tal_Herman1, ~Guy_N._Rothblum1","property testing, distribution testing, interactive proofs, data science, verification","alignment, fairness, safety, privacy, and societal considerations",ICLR 2025 Poster,2025,https://openreview.net/pdf?id=GfXMTAJaxZ,https://openreview.net/forum?id=GfXMTAJaxZ,,
GiHLTtfbB5,Adversarial Attacks on Cooperative Multi-agent Bandits,"Cooperative multi-agent multi-armed bandits (CMA2B) consider the collaborative efforts of multiple agents in a shared multi-armed bandit game. We study latent vulnerabilities exposed by this collaboration and consider adversarial attacks on a few agents with the goal of influencing the decisions of the rest. More specifically, we study adversarial attacks on CMA2B in both homogeneous settings, where agents operate with the same arm set, and heterogeneous settings, where agents may have distinct arm sets. In the homogeneous setting, we propose attack strategies that, by targeting just one agent, convince all agents to select a particular target arm $T-o(T)$ times while incurring $o(T)$ attack costs in $T$ rounds. In the heterogeneous setting, we prove that a target arm attack requires linear attack costs and propose attack strategies that can force a maximum number of agents to suffer linear regrets while incurring sublinear costs and only manipulating the observations of a few target agents. Numerical experiments validate the effectiveness of our proposed attack strategies.","Jinhang Zuo, Zhiyao Zhang, Xuchuang Wang, Cheng Chen, Shuai Li, John C.S. Lui, Mohammad Hajiesmaili, Adam Wierman","~Jinhang_Zuo1, ~Zhiyao_Zhang2, ~Xuchuang_Wang1, ~Cheng_Chen9, ~Shuai_Li3, ~John_C.S._Lui2, ~Mohammad_Hajiesmaili1, ~Adam_Wierman1","multi-agent bandits, adversarial attacks",learning theory,Submitted to ICLR 2025,2025,https://openreview.net/pdf?id=GiHLTtfbB5,https://openreview.net/forum?id=GiHLTtfbB5,,
